Stat,p
Start,2021-06-14
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-13.76%
Daily Sharpe,-
Daily Sortino,-
CAGR,-13.81%
Max Drawdown,-20.83%
Calmar Ratio,-0.66
,,,,,
MTD,-4.43%
3m,-7.65%
6m,-17.82%
YTD,-17.95%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-13.81%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,-1.60
Monthly Sortino,-1.85
Monthly Mean (ann.),-16.43%
Monthly Vol (ann.),10.28%
Monthly Skew,-0.89
Monthly Kurt,-0.49
Best Month,1.91%
Worst Month,-7.04%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-17.95%
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-17.95%
Worst Year,-17.95%
,,,,,
Avg. Drawdown,-5.72%
Avg. Drawdown Days,58.80
Avg. Up Month,1.10%
Avg. Down Month,-3.13%
Win Year %,0.00%
Win 12m %,0.00%
