Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-17.36%
Daily Sharpe,-2.53
Daily Sortino,-4.03
CAGR,-35.29%
Max Drawdown,-17.36%
Calmar Ratio,-2.03
,,,,,
MTD,-4.13%
3m,-5.08%
6m,-
YTD,-17.36%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-35.29%
,,,,,
Daily Sharpe,-2.53
Daily Sortino,-4.03
Daily Mean (ann.),-47.26%
Daily Vol (ann.),18.65%
Daily Skew,0.14
Daily Kurt,0.09
Best Day,3.14%
Worst Day,-2.91%
,,,,,
Monthly Sharpe,-3.30
Monthly Sortino,-4.08
Monthly Mean (ann.),-27.63%
Monthly Vol (ann.),8.39%
Monthly Skew,0.84
Monthly Kurt,-0.06
Best Month,1.32%
Worst Month,-4.71%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-17.36%
Avg. Drawdown Days,159.00
Avg. Up Month,1.32%
Avg. Down Month,-3.21%
Win Year %,-
Win 12m %,-
