Stat,lu0340554673,lu0474966677,lu0386875149
Start,2019-01-04,2019-01-04,2019-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,25.93%,23.33%,44.47%
Daily Sharpe,0.45,0.48,0.72
Daily Sortino,0.71,0.81,1.12
CAGR,6.93%,6.29%,11.29%
Max Drawdown,-31.93%,-26.86%,-32.25%
Calmar Ratio,0.22,0.23,0.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),2.82%,4.87%,7.02%
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),6.93%,6.29%,11.29%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.45,0.48,0.72
Daily Sortino,0.71,0.81,1.12
Daily Mean (ann.),9.65%,8.16%,13.55%
Daily Vol (ann.),21.23%,16.98%,18.72%
Daily Skew,-0.32,0.10,-0.50
Daily Kurt,2.96,4.92,4.36
Best Day,6.66%,7.31%,5.67%
Worst Day,-6.40%,-6.54%,-7.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.35,0.41,0.62
Monthly Sortino,0.62,0.70,0.99
Monthly Mean (ann.),5.61%,5.39%,9.90%
Monthly Vol (ann.),16.06%,13.14%,16.09%
Monthly Skew,-0.03,-0.20,-0.54
Monthly Kurt,0.16,0.61,1.45
Best Month,12.87%,9.73%,12.70%
Worst Month,-8.91%,-9.37%,-11.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.07,0.09,0.22
Yearly Sortino,0.11,0.14,0.41
Yearly Mean,1.57%,0.93%,4.93%
Yearly Vol,23.69%,10.98%,22.27%
Yearly Skew,-0.76,-1.27,-1.63
Yearly Kurt,-,-,-
Best Year,22.94%,9.79%,20.27%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-3.53%,-3.14%,-2.17%
Avg. Drawdown Days,26.40,35.25,15.77
Avg. Up Month,3.63%,2.78%,3.17%
Avg. Down Month,-3.99%,-3.19%,-4.84%
Win Year %,66.67%,66.67%,66.67%
Win 12m %,77.42%,70.97%,80.65%
