Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,14.86%
Daily Sharpe,-
Daily Sortino,-
CAGR,4.74%
Max Drawdown,-22.91%
Calmar Ratio,0.21
,,,,,
MTD,-0.58%
3m,-6.32%
6m,-14.86%
YTD,-14.90%
1Y,-10.79%
3Y (ann.),4.74%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),4.74%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.42
Monthly Sortino,0.65
Monthly Mean (ann.),5.04%
Monthly Vol (ann.),12.01%
Monthly Skew,-0.71
Monthly Kurt,1.63
Best Month,7.61%
Worst Month,-8.75%
,,,,,
Yearly Sharpe,0.13
Yearly Sortino,0.21
Yearly Mean,1.84%
Yearly Vol,14.50%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,10.45%
Worst Year,-14.90%
,,,,,
Avg. Drawdown,-3.97%
Avg. Drawdown Days,49.00
Avg. Up Month,2.49%
Avg. Down Month,-2.48%
Win Year %,66.67%
Win 12m %,76.92%
