Stat,p
Start,2019-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,30.19%
Daily Sharpe,0.63
Daily Sortino,1.00
CAGR,7.97%
Max Drawdown,-27.35%
Calmar Ratio,0.29
,,,,,
MTD,-4.22%
3m,-5.36%
6m,-16.91%
YTD,-17.21%
1Y,-12.89%
3Y (ann.),5.14%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),7.97%
,,,,,
Daily Sharpe,0.63
Daily Sortino,1.00
Daily Mean (ann.),9.64%
Daily Vol (ann.),15.36%
Daily Skew,-0.30
Daily Kurt,3.38
Best Day,4.79%
Worst Day,-4.57%
,,,,,
Monthly Sharpe,0.50
Monthly Sortino,0.83
Monthly Mean (ann.),6.68%
Monthly Vol (ann.),13.42%
Monthly Skew,-0.30
Monthly Kurt,1.04
Best Month,10.09%
Worst Month,-8.73%
,,,,,
Yearly Sharpe,0.13
Yearly Sortino,0.22
Yearly Mean,2.19%
Yearly Vol,16.80%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,12.27%
Worst Year,-17.21%
,,,,,
Avg. Drawdown,-2.30%
Avg. Drawdown Days,22.19
Avg. Up Month,2.90%
Avg. Down Month,-3.10%
Win Year %,66.67%
Win 12m %,80.65%
