Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-18.83%
Daily Sharpe,-2.46
Daily Sortino,-3.90
CAGR,-37.89%
Max Drawdown,-18.83%
Calmar Ratio,-2.01
,,,,,
MTD,-4.56%
3m,-6.10%
6m,-
YTD,-18.83%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-37.89%
,,,,,
Daily Sharpe,-2.46
Daily Sortino,-3.90
Daily Mean (ann.),-51.44%
Daily Vol (ann.),20.88%
Daily Skew,0.14
Daily Kurt,0.32
Best Day,3.41%
Worst Day,-3.49%
,,,,,
Monthly Sharpe,-3.14
Monthly Sortino,-4.46
Monthly Mean (ann.),-29.25%
Monthly Vol (ann.),9.31%
Monthly Skew,1.46
Monthly Kurt,2.27
Best Month,2.00%
Worst Month,-4.57%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-18.83%
Avg. Drawdown Days,159.00
Avg. Up Month,2.00%
Avg. Down Month,-3.55%
Win Year %,-
Win 12m %,-
