Stat,p
Start,2017-12-21
End,2022-06-09
Risk-free rate,0.00%
,,,,,
Total Return,32.21%
Daily Sharpe,-
Daily Sortino,-
CAGR,6.45%
Max Drawdown,-27.33%
Calmar Ratio,0.24
,,,,,
MTD,2.42%
3m,-5.52%
6m,-14.71%
YTD,-14.74%
1Y,-7.86%
3Y (ann.),7.45%
5Y (ann.),6.45%
10Y (ann.),-
Since Incep. (ann.),6.45%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.47
Monthly Sortino,0.75
Monthly Mean (ann.),7.59%
Monthly Vol (ann.),16.05%
Monthly Skew,-0.62
Monthly Kurt,1.54
Best Month,12.37%
Worst Month,-13.78%
,,,,,
Yearly Sharpe,0.38
Yearly Sortino,1.06
Yearly Mean,7.15%
Yearly Vol,18.76%
Yearly Skew,0.07
Yearly Kurt,-1.40
Best Year,31.68%
Worst Year,-14.74%
,,,,,
Avg. Drawdown,-4.22%
Avg. Drawdown Days,49.00
Avg. Up Month,3.31%
Avg. Down Month,-3.93%
Win Year %,60.00%
Win 12m %,81.82%
