Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,21.26%
Daily Sharpe,-
Daily Sortino,-
CAGR,6.66%
Max Drawdown,-27.80%
Calmar Ratio,0.24
,,,,,
MTD,-1.07%
3m,-6.20%
6m,-15.69%
YTD,-16.25%
1Y,-10.01%
3Y (ann.),6.66%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),6.66%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.49
Monthly Sortino,0.76
Monthly Mean (ann.),7.31%
Monthly Vol (ann.),15.04%
Monthly Skew,-0.65
Monthly Kurt,1.58
Best Month,10.05%
Worst Month,-10.53%
,,,,,
Yearly Sharpe,0.20
Yearly Sortino,0.37
Yearly Mean,3.52%
Yearly Vol,17.18%
Yearly Skew,-1.68
Yearly Kurt,-
Best Year,14.87%
Worst Year,-16.25%
,,,,,
Avg. Drawdown,-4.37%
Avg. Drawdown Days,43.84
Avg. Up Month,2.91%
Avg. Down Month,-3.47%
Win Year %,66.67%
Win 12m %,76.92%
