Stat,lu0340554673,lu0474966677,lu0386875149
Start,2022-01-11,2022-01-11,2022-01-11
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-21.56%,-10.84%,-16.20%
Daily Sharpe,-1.81,-1.56,-1.73
Daily Sortino,-2.97,-2.47,-2.74
CAGR,-44.00%,-23.97%,-34.43%
Max Drawdown,-25.01%,-12.03%,-17.20%
Calmar Ratio,-1.76,-1.99,-2.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-,-,-
YTD,-21.56%,-10.84%,-16.20%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-44.00%,-23.97%,-34.43%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.81,-1.56,-1.73
Daily Sortino,-2.97,-2.47,-2.74
Daily Mean (ann.),-59.65%,-29.03%,-44.11%
Daily Vol (ann.),32.97%,18.64%,25.57%
Daily Skew,0.13,0.04,0.02
Daily Kurt,0.63,0.23,0.40
Best Day,5.55%,3.28%,3.89%
Worst Day,-6.40%,-2.79%,-4.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-4.31,-2.43,-2.38
Monthly Sortino,-4.76,-2.88,-4.04
Monthly Mean (ann.),-49.45%,-18.71%,-28.44%
Monthly Vol (ann.),11.48%,7.70%,11.94%
Monthly Skew,0.62,0.11,1.68
Monthly Kurt,1.21,-2.54,3.24
Best Month,0.86%,1.06%,3.48%
Worst Month,-8.16%,-4.00%,-5.48%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-,-,-
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-,-,-
Worst Year,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-25.01%,-12.03%,-17.20%
Avg. Drawdown Days,151.00,151.00,151.00
Avg. Up Month,0.86%,0.67%,3.48%
Avg. Down Month,-5.37%,-3.04%,-3.83%
Win Year %,-,-,-
Win 12m %,-,-,-
