Stat,lu0474966677,lu0303494743,lu0386875149
Start,2022-01-04,2022-01-04,2022-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-12.81%,-11.53%,-20.59%
Daily Sharpe,-1.82,-2.94,-2.20
Daily Sortino,-2.84,-4.46,-3.39
CAGR,-26.87%,-24.39%,-40.92%
Max Drawdown,-13.22%,-11.53%,-20.59%
Calmar Ratio,-2.03,-2.12,-1.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.45%,-2.67%,-5.48%
3m,-2.44%,-8.07%,-7.60%
6m,-,-,-
YTD,-12.81%,-11.53%,-20.59%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-26.87%,-24.39%,-40.92%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.82,-2.94,-2.20
Daily Sortino,-2.84,-4.46,-3.39
Daily Mean (ann.),-34.54%,-31.88%,-57.68%
Daily Vol (ann.),19.02%,10.85%,26.20%
Daily Skew,0.01,0.03,-0.07
Daily Kurt,0.08,1.53,0.62
Best Day,3.28%,1.87%,3.89%
Worst Day,-2.79%,-2.33%,-5.41%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-2.43,-8.43,-2.38
Monthly Sortino,-2.88,-8.43,-4.04
Monthly Mean (ann.),-18.71%,-26.38%,-28.44%
Monthly Vol (ann.),7.70%,3.13%,11.94%
Monthly Skew,0.11,0.87,1.68
Monthly Kurt,-2.54,1.21,3.24
Best Month,1.06%,-0.81%,3.48%
Worst Month,-4.00%,-3.22%,-5.48%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-,-,-
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-,-,-
Worst Year,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-13.22%,-11.53%,-20.59%
Avg. Drawdown Days,158.00,159.00,159.00
Avg. Up Month,0.67%,-,3.48%
Avg. Down Month,-3.04%,-2.20%,-3.83%
Win Year %,-,-,-
Win 12m %,-,-,-
