Stat,lu0340554673,lu0474966677,lu0303494743
Start,2022-01-04,2022-01-04,2022-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-23.89%,-12.81%,-11.53%
Daily Sharpe,-2.04,-1.82,-2.94
Daily Sortino,-3.39,-2.84,-4.46
CAGR,-46.38%,-26.87%,-24.39%
Max Drawdown,-25.95%,-13.22%,-11.53%
Calmar Ratio,-1.79,-2.03,-2.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-2.67%
3m,-8.26%,-2.44%,-8.07%
6m,-,-,-
YTD,-23.89%,-12.81%,-11.53%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-46.38%,-26.87%,-24.39%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-2.04,-1.82,-2.94
Daily Sortino,-3.39,-2.84,-4.46
Daily Mean (ann.),-67.00%,-34.54%,-31.88%
Daily Vol (ann.),32.77%,19.02%,10.85%
Daily Skew,0.22,0.01,0.03
Daily Kurt,0.51,0.08,1.53
Best Day,5.55%,3.28%,1.87%
Worst Day,-6.05%,-2.79%,-2.33%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-4.31,-2.43,-8.43
Monthly Sortino,-4.76,-2.88,-8.43
Monthly Mean (ann.),-49.45%,-18.71%,-26.38%
Monthly Vol (ann.),11.48%,7.70%,3.13%
Monthly Skew,0.62,0.11,0.87
Monthly Kurt,1.21,-2.54,1.21
Best Month,0.86%,1.06%,-0.81%
Worst Month,-8.16%,-4.00%,-3.22%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-,-,-
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-,-,-
Worst Year,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-25.95%,-13.22%,-11.53%
Avg. Drawdown Days,159.00,158.00,159.00
Avg. Up Month,0.86%,0.67%,-
Avg. Down Month,-5.37%,-3.04%,-2.20%
Win Year %,-,-,-
Win 12m %,-,-,-
