Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-18.55%
Daily Sharpe,-2.49
Daily Sortino,-3.94
CAGR,-37.39%
Max Drawdown,-18.55%
Calmar Ratio,-2.02
,,,,,
MTD,-4.41%
3m,-5.86%
6m,-
YTD,-18.55%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-37.39%
,,,,,
Daily Sharpe,-2.49
Daily Sortino,-3.94
Daily Mean (ann.),-50.64%
Daily Vol (ann.),20.36%
Daily Skew,0.15
Daily Kurt,0.29
Best Day,3.36%
Worst Day,-3.30%
,,,,,
Monthly Sharpe,-3.26
Monthly Sortino,-4.42
Monthly Mean (ann.),-29.36%
Monthly Vol (ann.),9.01%
Monthly Skew,1.31
Monthly Kurt,1.70
Best Month,1.76%
Worst Month,-4.71%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-18.55%
Avg. Drawdown Days,159.00
Avg. Up Month,1.76%
Avg. Down Month,-3.50%
Win Year %,-
Win 12m %,-
