Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,14.06%
Daily Sharpe,-
Daily Sortino,-
CAGR,4.50%
Max Drawdown,-28.81%
Calmar Ratio,0.16
,,,,,
MTD,1.54%
3m,-9.28%
6m,-20.44%
YTD,-20.42%
1Y,-21.43%
3Y (ann.),4.50%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),4.50%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.32
Monthly Sortino,0.54
Monthly Mean (ann.),5.52%
Monthly Vol (ann.),17.46%
Monthly Skew,-0.24
Monthly Kurt,0.26
Best Month,12.19%
Worst Month,-11.05%
,,,,,
Yearly Sharpe,0.11
Yearly Sortino,0.19
Yearly Mean,2.20%
Yearly Vol,20.72%
Yearly Skew,-0.94
Yearly Kurt,-
Best Year,20.25%
Worst Year,-20.42%
,,,,,
Avg. Drawdown,-5.93%
Avg. Drawdown Days,54.25
Avg. Up Month,4.13%
Avg. Down Month,-3.64%
Win Year %,66.67%
Win 12m %,76.92%
