Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-18.92%
Daily Sharpe,-2.46
Daily Sortino,-3.89
CAGR,-38.04%
Max Drawdown,-18.92%
Calmar Ratio,-2.01
,,,,,
MTD,-4.54%
3m,-6.12%
6m,-
YTD,-18.92%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-38.04%
,,,,,
Daily Sharpe,-2.46
Daily Sortino,-3.89
Daily Mean (ann.),-51.67%
Daily Vol (ann.),21.03%
Daily Skew,0.15
Daily Kurt,0.34
Best Day,3.43%
Worst Day,-3.53%
,,,,,
Monthly Sharpe,-3.19
Monthly Sortino,-4.49
Monthly Mean (ann.),-29.66%
Monthly Vol (ann.),9.30%
Monthly Skew,1.46
Monthly Kurt,2.26
Best Month,1.96%
Worst Month,-4.64%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-18.92%
Avg. Drawdown Days,159.00
Avg. Up Month,1.96%
Avg. Down Month,-3.58%
Win Year %,-
Win 12m %,-
