Stat,p
Start,2018-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,18.68%
Daily Sharpe,0.36
Daily Sortino,0.56
CAGR,3.93%
Max Drawdown,-27.02%
Calmar Ratio,0.15
,,,,,
MTD,-4.06%
3m,-5.49%
6m,-17.53%
YTD,-17.72%
1Y,-14.72%
3Y (ann.),4.68%
5Y (ann.),3.93%
10Y (ann.),-
Since Incep. (ann.),3.93%
,,,,,
Daily Sharpe,0.36
Daily Sortino,0.56
Daily Mean (ann.),5.40%
Daily Vol (ann.),15.14%
Daily Skew,-0.34
Daily Kurt,2.96
Best Day,4.54%
Worst Day,-4.52%
,,,,,
Monthly Sharpe,0.35
Monthly Sortino,0.58
Monthly Mean (ann.),4.83%
Monthly Vol (ann.),13.62%
Monthly Skew,-0.26
Monthly Kurt,0.54
Best Month,10.21%
Worst Month,-8.49%
,,,,,
Yearly Sharpe,0.43
Yearly Sortino,0.89
Yearly Mean,7.92%
Yearly Vol,18.45%
Yearly Skew,-1.13
Yearly Kurt,2.18
Best Year,26.22%
Worst Year,-17.72%
,,,,,
Avg. Drawdown,-3.26%
Avg. Drawdown Days,36.88
Avg. Up Month,2.84%
Avg. Down Month,-3.31%
Win Year %,75.00%
Win 12m %,76.74%
