Stat,lu0340554673,lu0474966677,lu0386875149
Start,2021-06-14,2021-06-14,2021-06-14
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-26.49%,-6.64%,-12.95%
Daily Sharpe,-1.25,-0.37,-0.69
Daily Sortino,-1.99,-0.63,-1.07
CAGR,-26.57%,-6.66%,-12.99%
Max Drawdown,-31.93%,-15.38%,-21.85%
Calmar Ratio,-0.83,-0.43,-0.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-26.57%,-6.66%,-12.99%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-1.25,-0.37,-0.69
Daily Sortino,-1.99,-0.63,-1.07
Daily Mean (ann.),-30.71%,-6.16%,-13.33%
Daily Vol (ann.),24.47%,16.54%,19.29%
Daily Skew,0.04,0.11,-0.17
Daily Kurt,2.24,0.40,1.92
Best Day,5.55%,3.28%,3.89%
Worst Day,-6.40%,-2.79%,-4.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-3.43,-0.68,-1.10
Monthly Sortino,-3.80,-1.13,-1.43
Monthly Mean (ann.),-34.43%,-6.79%,-15.68%
Monthly Vol (ann.),10.03%,10.03%,14.23%
Monthly Skew,-0.17,0.36,-0.84
Monthly Kurt,-0.61,-1.03,0.41
Best Month,1.19%,4.46%,3.48%
Worst Month,-8.16%,-4.01%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-23.91%,-11.36%,-20.61%
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-23.91%,-11.36%,-20.61%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-6.64%,-4.32%,-3.18%
Avg. Drawdown Days,69.40,56.67,29.09
Avg. Up Month,0.82%,1.87%,2.04%
Avg. Down Month,-4.10%,-3.00%,-4.66%
Win Year %,0.00%,0.00%,0.00%
Win 12m %,0.00%,0.00%,0.00%
