Stat,lu0340554673,lu0474966677,lu0386875149
Start,2019-06-21,2019-06-21,2019-06-21
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,6.87%,13.97%,21.04%
Daily Sharpe,0.22,0.36,0.46
Daily Sortino,0.34,0.60,0.70
CAGR,2.26%,4.49%,6.62%
Max Drawdown,-31.93%,-26.86%,-32.25%
Calmar Ratio,0.07,0.17,0.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),2.26%,4.49%,6.62%
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),2.26%,4.49%,6.62%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.22,0.36,0.46
Daily Sortino,0.34,0.60,0.70
Daily Mean (ann.),4.88%,6.35%,8.96%
Daily Vol (ann.),22.03%,17.50%,19.55%
Daily Skew,-0.31,0.10,-0.47
Daily Kurt,2.83,4.94,4.05
Best Day,6.66%,7.31%,5.67%
Worst Day,-6.40%,-6.54%,-7.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.24,0.39,0.48
Monthly Sortino,0.42,0.68,0.77
Monthly Mean (ann.),3.77%,5.40%,7.86%
Monthly Vol (ann.),16.03%,13.75%,16.33%
Monthly Skew,0.16,-0.17,-0.45
Monthly Kurt,0.40,0.42,1.65
Best Month,12.87%,9.73%,12.70%
Worst Month,-8.91%,-9.37%,-11.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.07,0.09,0.22
Yearly Sortino,0.11,0.14,0.41
Yearly Mean,1.57%,0.93%,4.93%
Yearly Vol,23.69%,10.98%,22.27%
Yearly Skew,-0.76,-1.27,-1.63
Yearly Kurt,-,-,-
Best Year,22.94%,9.79%,20.27%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.16%,-4.14%,-2.52%
Avg. Drawdown Days,31.55,49.95,18.60
Avg. Up Month,3.59%,3.01%,3.04%
Avg. Down Month,-3.78%,-3.14%,-4.77%
Win Year %,66.67%,66.67%,66.67%
Win 12m %,76.92%,69.23%,80.77%
