Stat,p
Start,2017-12-21
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,19.68%
Daily Sharpe,0.37
Daily Sortino,0.58
CAGR,4.10%
Max Drawdown,-27.00%
Calmar Ratio,0.15
,,,,,
MTD,-4.05%
3m,-5.47%
6m,-17.49%
YTD,-17.68%
1Y,-14.65%
3Y (ann.),4.68%
5Y (ann.),4.10%
10Y (ann.),-
Since Incep. (ann.),4.10%
,,,,,
Daily Sharpe,0.37
Daily Sortino,0.58
Daily Mean (ann.),5.58%
Daily Vol (ann.),15.12%
Daily Skew,-0.34
Daily Kurt,2.96
Best Day,4.56%
Worst Day,-4.50%
,,,,,
Monthly Sharpe,0.38
Monthly Sortino,0.62
Monthly Mean (ann.),5.12%
Monthly Vol (ann.),13.50%
Monthly Skew,-0.28
Monthly Kurt,0.60
Best Month,10.19%
Worst Month,-8.50%
,,,,,
Yearly Sharpe,0.29
Yearly Sortino,0.65
Yearly Mean,5.03%
Yearly Vol,17.21%
Yearly Skew,-0.26
Yearly Kurt,-1.04
Best Year,26.19%
Worst Year,-17.68%
,,,,,
Avg. Drawdown,-3.20%
Avg. Drawdown Days,36.17
Avg. Up Month,2.80%
Avg. Down Month,-3.31%
Win Year %,60.00%
Win 12m %,77.27%
