Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-14.49%
Daily Sharpe,-3.50
Daily Sortino,-5.12
CAGR,-30.04%
Max Drawdown,-14.49%
Calmar Ratio,-2.07
,,,,,
MTD,-3.17%
3m,-6.23%
6m,-
YTD,-14.49%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-30.04%
,,,,,
Daily Sharpe,-3.50
Daily Sortino,-5.12
Daily Mean (ann.),-40.80%
Daily Vol (ann.),11.65%
Daily Skew,-0.20
Daily Kurt,0.16
Best Day,1.59%
Worst Day,-2.06%
,,,,,
Monthly Sharpe,-7.98
Monthly Sortino,-7.98
Monthly Mean (ann.),-28.37%
Monthly Vol (ann.),3.56%
Monthly Skew,0.43
Monthly Kurt,-3.12
Best Month,-1.25%
Worst Month,-3.35%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-14.49%
Avg. Drawdown Days,159.00
Avg. Up Month,-
Avg. Down Month,-2.36%
Win Year %,-
Win 12m %,-
