Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-18.76%
Daily Sharpe,-2.63
Daily Sortino,-4.19
CAGR,-37.77%
Max Drawdown,-18.88%
Calmar Ratio,-2.00
,,,,,
MTD,-3.57%
3m,-6.37%
6m,-
YTD,-18.76%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-37.77%
,,,,,
Daily Sharpe,-2.63
Daily Sortino,-4.19
Daily Mean (ann.),-53.04%
Daily Vol (ann.),20.15%
Daily Skew,0.16
Daily Kurt,0.38
Best Day,3.35%
Worst Day,-3.38%
,,,,,
Monthly Sharpe,-4.71
Monthly Sortino,-4.78
Monthly Mean (ann.),-36.44%
Monthly Vol (ann.),7.73%
Monthly Skew,0.36
Monthly Kurt,-0.10
Best Month,0.09%
Worst Month,-5.81%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-18.88%
Avg. Drawdown Days,159.00
Avg. Up Month,0.09%
Avg. Down Month,-3.82%
Win Year %,-
Win 12m %,-
