Stat,p
Start,2021-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-10.81%
Daily Sharpe,-0.39
Daily Sortino,-0.61
CAGR,-7.65%
Max Drawdown,-24.08%
Calmar Ratio,-0.32
,,,,,
MTD,-4.70%
3m,-7.30%
6m,-20.09%
YTD,-20.94%
1Y,-17.50%
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-7.65%
,,,,,
Daily Sharpe,-0.39
Daily Sortino,-0.61
Daily Mean (ann.),-7.05%
Daily Vol (ann.),18.21%
Daily Skew,-0.14
Daily Kurt,1.96
Best Day,3.89%
Worst Day,-4.80%
,,,,,
Monthly Sharpe,-0.72
Monthly Sortino,-1.03
Monthly Mean (ann.),-8.59%
Monthly Vol (ann.),11.92%
Monthly Skew,-0.46
Monthly Kurt,-0.31
Best Month,4.95%
Worst Month,-8.01%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-20.94%
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-20.94%
Worst Year,-20.94%
,,,,,
Avg. Drawdown,-3.66%
Avg. Drawdown Days,36.85
Avg. Up Month,2.25%
Avg. Down Month,-3.35%
Win Year %,0.00%
Win 12m %,14.29%
