Stat,p
Start,2021-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-7.31%
Daily Sharpe,-0.29
Daily Sortino,-0.47
CAGR,-5.15%
Max Drawdown,-20.95%
Calmar Ratio,-0.25
,,,,,
MTD,-4.58%
3m,-6.15%
6m,-17.89%
YTD,-18.53%
1Y,-13.54%
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-5.15%
,,,,,
Daily Sharpe,-0.29
Daily Sortino,-0.47
Daily Mean (ann.),-4.57%
Daily Vol (ann.),15.55%
Daily Skew,-0.11
Daily Kurt,1.38
Best Day,3.43%
Worst Day,-3.54%
,,,,,
Monthly Sharpe,-0.52
Monthly Sortino,-0.72
Monthly Mean (ann.),-5.64%
Monthly Vol (ann.),10.81%
Monthly Skew,-0.72
Monthly Kurt,0.26
Best Month,3.99%
Worst Month,-7.64%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-18.53%
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-18.53%
Worst Year,-18.53%
,,,,,
Avg. Drawdown,-3.87%
Avg. Drawdown Days,39.17
Avg. Up Month,2.01%
Avg. Down Month,-2.67%
Win Year %,0.00%
Win 12m %,28.57%
