Stat,lu0340554673,lu0474966677,lu0386875149
Start,2017-12-21,2017-12-21,2017-12-21
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,22.27%,12.08%,34.82%
Daily Sharpe,0.34,0.25,0.50
Daily Sortino,0.54,0.42,0.77
CAGR,4.59%,2.58%,6.90%
Max Drawdown,-31.93%,-26.86%,-32.25%
Calmar Ratio,0.14,0.10,0.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),2.82%,4.87%,7.02%
5Y (ann.),4.59%,2.58%,6.90%
10Y (ann.),-,-,-
Since Incep. (ann.),4.59%,2.58%,6.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.34,0.25,0.50
Daily Sortino,0.54,0.42,0.77
Daily Mean (ann.),7.14%,4.21%,9.00%
Daily Vol (ann.),20.86%,16.69%,18.00%
Daily Skew,-0.33,0.00,-0.51
Daily Kurt,2.63,4.19,4.21
Best Day,6.66%,7.31%,5.67%
Worst Day,-6.40%,-6.54%,-7.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.39,0.26,0.52
Monthly Sortino,0.68,0.43,0.83
Monthly Mean (ann.),6.17%,3.48%,8.10%
Monthly Vol (ann.),16.01%,13.21%,15.72%
Monthly Skew,-0.03,-0.26,-0.48
Monthly Kurt,0.05,0.37,1.11
Best Month,12.87%,9.73%,12.70%
Worst Month,-8.91%,-9.37%,-11.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.30,0.22,0.38
Yearly Sortino,0.60,0.55,0.91
Yearly Mean,6.29%,3.13%,8.11%
Yearly Vol,21.01%,13.95%,21.08%
Yearly Skew,-0.54,0.35,-0.50
Yearly Kurt,-0.49,-1.25,-1.32
Best Year,28.79%,22.25%,31.73%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.05%,-5.55%,-2.66%
Avg. Drawdown Days,32.37,86.17,22.68
Avg. Up Month,3.58%,2.63%,3.18%
Avg. Down Month,-3.94%,-3.38%,-4.33%
Win Year %,60.00%,60.00%,60.00%
Win 12m %,81.82%,59.09%,84.09%
