Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,17.05%
Daily Sharpe,-
Daily Sortino,-
CAGR,5.41%
Max Drawdown,-24.60%
Calmar Ratio,0.22
,,,,,
MTD,-0.83%
3m,-6.34%
6m,-15.18%
YTD,-15.43%
1Y,-10.42%
3Y (ann.),5.41%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),5.41%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.45
Monthly Sortino,0.69
Monthly Mean (ann.),5.83%
Monthly Vol (ann.),13.04%
Monthly Skew,-0.70
Monthly Kurt,1.62
Best Month,8.47%
Worst Month,-9.41%
,,,,,
Yearly Sharpe,0.16
Yearly Sortino,0.27
Yearly Mean,2.44%
Yearly Vol,15.49%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,11.83%
Worst Year,-15.43%
,,,,,
Avg. Drawdown,-4.09%
Avg. Drawdown Days,49.00
Avg. Up Month,2.73%
Avg. Down Month,-2.66%
Win Year %,66.67%
Win 12m %,76.92%
