Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-22.51%
Daily Sharpe,-2.11
Daily Sortino,-3.43
CAGR,-44.13%
Max Drawdown,-23.78%
Calmar Ratio,-1.86
,,,,,
MTD,-4.12%
3m,-7.67%
6m,-
YTD,-22.51%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-44.13%
,,,,,
Daily Sharpe,-2.11
Daily Sortino,-3.43
Daily Mean (ann.),-61.33%
Daily Vol (ann.),29.00%
Daily Skew,0.16
Daily Kurt,0.63
Best Day,4.83%
Worst Day,-5.58%
,,,,,
Monthly Sharpe,-4.12
Monthly Sortino,-4.86
Monthly Mean (ann.),-43.74%
Monthly Vol (ann.),10.62%
Monthly Skew,1.03
Monthly Kurt,1.99
Best Month,1.22%
Worst Month,-7.11%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-23.78%
Avg. Drawdown Days,159.00
Avg. Up Month,1.22%
Avg. Down Month,-4.86%
Win Year %,-
Win 12m %,-
