Stat,lu0340554673,lu0474966677,lu0625737753
Start,2022-01-04,2022-01-04,2022-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-23.89%,-12.81%,-7.77%
Daily Sharpe,-2.19,-1.94,-0.32
Daily Sortino,-3.74,-3.03,-0.59
CAGR,-46.38%,-26.87%,-16.86%
Max Drawdown,-25.95%,-13.22%,-29.91%
Calmar Ratio,-1.79,-2.03,-0.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,3.38%
3m,-8.26%,-2.44%,8.84%
6m,-,-,-
YTD,-23.89%,-12.81%,-7.77%
1Y,-,-,-
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-46.38%,-26.87%,-16.86%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-2.19,-1.94,-0.32
Daily Sortino,-3.74,-3.03,-0.59
Daily Mean (ann.),-71.12%,-36.59%,-13.62%
Daily Vol (ann.),32.46%,18.86%,43.17%
Daily Skew,0.33,0.02,1.40
Daily Kurt,0.66,0.22,8.15
Best Day,5.55%,3.28%,14.34%
Worst Day,-6.05%,-2.79%,-7.76%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-4.31,-2.43,-0.93
Monthly Sortino,-4.76,-2.88,-1.59
Monthly Mean (ann.),-49.45%,-18.71%,-16.88%
Monthly Vol (ann.),11.48%,7.70%,18.13%
Monthly Skew,0.62,0.11,0.39
Monthly Kurt,1.21,-2.54,-2.56
Best Month,0.86%,1.06%,4.88%
Worst Month,-8.16%,-4.00%,-7.13%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-,-,-
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-,-,-
Worst Year,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-25.95%,-13.22%,-11.65%
Avg. Drawdown Days,159.00,158.00,52.00
Avg. Up Month,0.86%,0.67%,4.13%
Avg. Down Month,-5.37%,-3.04%,-5.10%
Win Year %,-,-,-
Win 12m %,-,-,-
