Stat,p
Start,2018-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,9.35%
Daily Sharpe,0.29
Daily Sortino,0.46
CAGR,2.03%
Max Drawdown,-17.72%
Calmar Ratio,0.11
,,,,,
MTD,-3.24%
3m,-6.20%
6m,-15.61%
YTD,-14.89%
1Y,-13.21%
3Y (ann.),1.01%
5Y (ann.),2.03%
10Y (ann.),-
Since Incep. (ann.),2.03%
,,,,,
Daily Sharpe,0.29
Daily Sortino,0.46
Daily Mean (ann.),2.68%
Daily Vol (ann.),9.20%
Daily Skew,-0.36
Daily Kurt,1.96
Best Day,2.41%
Worst Day,-2.75%
,,,,,
Monthly Sharpe,0.32
Monthly Sortino,0.55
Monthly Mean (ann.),2.53%
Monthly Vol (ann.),7.96%
Monthly Skew,-0.05
Monthly Kurt,-0.04
Best Month,5.75%
Worst Month,-4.79%
,,,,,
Yearly Sharpe,0.27
Yearly Sortino,0.51
Yearly Mean,3.78%
Yearly Vol,13.77%
Yearly Skew,-0.90
Yearly Kurt,1.66
Best Year,18.07%
Worst Year,-14.89%
,,,,,
Avg. Drawdown,-2.06%
Avg. Drawdown Days,35.85
Avg. Up Month,1.79%
Avg. Down Month,-1.84%
Win Year %,75.00%
Win 12m %,81.40%
