Stat,lu0340554673,lu0474966677,lu0386875149
Start,2021-01-04,2021-01-04,2021-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-19.77%,-2.30%,-5.34%
Daily Sharpe,-0.62,-0.03,-0.14
Daily Sortino,-0.98,-0.05,-0.22
CAGR,-14.20%,-1.60%,-3.75%
Max Drawdown,-31.93%,-15.38%,-21.85%
Calmar Ratio,-0.44,-0.10,-0.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),-,-,-
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),-14.20%,-1.60%,-3.75%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-0.62,-0.03,-0.14
Daily Sortino,-0.98,-0.05,-0.22
Daily Mean (ann.),-14.14%,-0.47%,-2.55%
Daily Vol (ann.),22.90%,16.16%,18.08%
Daily Skew,-0.09,-0.06,-0.22
Daily Kurt,2.23,0.42,1.87
Best Day,5.55%,3.28%,3.89%
Worst Day,-6.40%,-2.79%,-4.68%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,-1.27,-0.13,-0.27
Monthly Sortino,-1.89,-0.23,-0.38
Monthly Mean (ann.),-16.68%,-1.36%,-3.72%
Monthly Vol (ann.),13.13%,10.17%,13.60%
Monthly Skew,0.30,-0.04,-1.06
Monthly Kurt,-0.08,-1.29,1.00
Best Month,6.66%,4.46%,4.19%
Worst Month,-8.16%,-4.09%,-10.28%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,-,-,-
Yearly Sortino,-,-,-
Yearly Mean,-23.91%,-11.36%,-20.61%
Yearly Vol,-,-,-
Yearly Skew,-,-,-
Yearly Kurt,-,-,-
Best Year,-23.91%,-11.36%,-20.61%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-6.14%,-5.00%,-2.79%
Avg. Drawdown Days,61.75,69.86,22.80
Avg. Up Month,2.29%,2.02%,2.39%
Avg. Down Month,-3.97%,-3.16%,-4.16%
Win Year %,0.00%,0.00%,0.00%
Win 12m %,14.29%,42.86%,28.57%
