Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-12.97%
Daily Sharpe,-3.69
Daily Sortino,-5.31
CAGR,-27.17%
Max Drawdown,-12.97%
Calmar Ratio,-2.10
,,,,,
MTD,-3.21%
3m,-6.43%
6m,-
YTD,-12.97%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-27.17%
,,,,,
Daily Sharpe,-3.69
Daily Sortino,-5.31
Daily Mean (ann.),-36.34%
Daily Vol (ann.),9.85%
Daily Skew,-0.22
Daily Kurt,0.40
Best Day,1.63%
Worst Day,-1.86%
,,,,,
Monthly Sharpe,-9.48
Monthly Sortino,-9.48
Monthly Mean (ann.),-24.51%
Monthly Vol (ann.),2.58%
Monthly Skew,-1.04
Monthly Kurt,1.11
Best Month,-1.31%
Worst Month,-3.21%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-12.97%
Avg. Drawdown Days,159.00
Avg. Up Month,-
Avg. Down Month,-2.04%
Win Year %,-
Win 12m %,-
