Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-21.13%
Daily Sharpe,-2.24
Daily Sortino,-3.56
CAGR,-41.84%
Max Drawdown,-21.28%
Calmar Ratio,-1.97
,,,,,
MTD,-4.66%
3m,-7.32%
6m,-
YTD,-21.13%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-41.84%
,,,,,
Daily Sharpe,-2.24
Daily Sortino,-3.56
Daily Mean (ann.),-57.68%
Daily Vol (ann.),25.78%
Daily Skew,0.13
Daily Kurt,0.54
Best Day,3.95%
Worst Day,-4.85%
,,,,,
Monthly Sharpe,-3.49
Monthly Sortino,-4.95
Monthly Mean (ann.),-35.92%
Monthly Vol (ann.),10.30%
Monthly Skew,1.77
Monthly Kurt,3.46
Best Month,2.10%
Worst Month,-5.47%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-21.28%
Avg. Drawdown Days,159.00
Avg. Up Month,2.10%
Avg. Down Month,-4.26%
Win Year %,-
Win 12m %,-
