Stat,p
Start,2018-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,15.82%
Daily Sharpe,0.32
Daily Sortino,0.51
CAGR,3.37%
Max Drawdown,-24.16%
Calmar Ratio,0.14
,,,,,
MTD,-3.62%
3m,-6.58%
6m,-19.23%
YTD,-19.17%
1Y,-19.22%
3Y (ann.),2.64%
5Y (ann.),3.37%
10Y (ann.),-
Since Incep. (ann.),3.37%
,,,,,
Daily Sharpe,0.32
Daily Sortino,0.51
Daily Mean (ann.),4.81%
Daily Vol (ann.),14.82%
Daily Skew,-0.33
Daily Kurt,2.25
Best Day,4.24%
Worst Day,-4.12%
,,,,,
Monthly Sharpe,0.33
Monthly Sortino,0.56
Monthly Mean (ann.),4.07%
Monthly Vol (ann.),12.49%
Monthly Skew,-0.07
Monthly Kurt,0.14
Best Month,9.58%
Worst Month,-7.18%
,,,,,
Yearly Sharpe,0.35
Yearly Sortino,0.67
Yearly Mean,6.43%
Yearly Vol,18.61%
Yearly Skew,-1.10
Yearly Kurt,1.30
Best Year,24.11%
Worst Year,-19.17%
,,,,,
Avg. Drawdown,-3.28%
Avg. Drawdown Days,37.62
Avg. Up Month,2.85%
Avg. Down Month,-2.70%
Win Year %,75.00%
Win 12m %,81.40%
