Stat,lu0340554673,lu0474966677,lu0303494743
Start,2018-01-04,2018-01-04,2018-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,22.38%,10.21%,2.35%
Daily Sharpe,0.35,0.23,0.12
Daily Sortino,0.55,0.38,0.20
CAGR,4.66%,2.21%,0.52%
Max Drawdown,-31.93%,-26.86%,-15.96%
Calmar Ratio,0.15,0.08,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-2.67%
3m,-8.26%,-2.44%,-8.07%
6m,-23.47%,-12.11%,-13.46%
YTD,-23.91%,-11.36%,-11.91%
1Y,-26.09%,-6.09%,-10.06%
3Y (ann.),2.82%,4.87%,-2.80%
5Y (ann.),4.66%,2.21%,0.52%
10Y (ann.),-,-,-
Since Incep. (ann.),4.66%,2.21%,0.52%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.35,0.23,0.12
Daily Sortino,0.55,0.38,0.20
Daily Mean (ann.),7.32%,3.87%,0.79%
Daily Vol (ann.),21.05%,16.86%,6.34%
Daily Skew,-0.29,0.03,-0.24
Daily Kurt,2.48,4.11,3.36
Best Day,6.66%,7.31%,1.87%
Worst Day,-6.05%,-6.54%,-2.33%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.34,0.25,0.18
Monthly Sortino,0.61,0.41,0.37
Monthly Mean (ann.),5.58%,3.35%,1.06%
Monthly Vol (ann.),16.26%,13.32%,5.80%
Monthly Skew,0.02,-0.26,0.37
Monthly Kurt,-0.03,0.30,-0.37
Best Month,12.87%,9.73%,4.24%
Worst Month,-8.91%,-9.37%,-3.22%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.35,0.45,-0.01
Yearly Sortino,0.70,1.10,-0.01
Yearly Mean,8.37%,6.26%,-0.06%
Yearly Vol,23.65%,13.93%,9.25%
Yearly Skew,-1.11,-0.33,-0.43
Yearly Kurt,0.40,0.83,0.93
Best Year,28.79%,22.25%,10.39%
Worst Year,-23.91%,-11.36%,-11.91%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.09%,-5.81%,-1.17%
Avg. Drawdown Days,32.78,90.76,43.09
Avg. Up Month,3.63%,2.68%,1.75%
Avg. Down Month,-3.99%,-3.38%,-1.09%
Win Year %,75.00%,75.00%,50.00%
Win 12m %,81.40%,60.47%,58.14%
