Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,17.70%
Daily Sharpe,-
Daily Sortino,-
CAGR,5.60%
Max Drawdown,-25.15%
Calmar Ratio,0.22
,,,,,
MTD,-0.33%
3m,-5.93%
6m,-15.07%
YTD,-15.23%
1Y,-10.99%
3Y (ann.),5.60%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),5.60%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.45
Monthly Sortino,0.70
Monthly Mean (ann.),5.99%
Monthly Vol (ann.),13.29%
Monthly Skew,-0.68
Monthly Kurt,1.54
Best Month,8.54%
Worst Month,-9.47%
,,,,,
Yearly Sharpe,0.16
Yearly Sortino,0.28
Yearly Mean,2.44%
Yearly Vol,15.31%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,11.46%
Worst Year,-15.23%
,,,,,
Avg. Drawdown,-4.31%
Avg. Drawdown Days,49.00
Avg. Up Month,2.79%
Avg. Down Month,-2.71%
Win Year %,66.67%
Win 12m %,76.92%
