Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-17.69%
Daily Sharpe,-2.50
Daily Sortino,-3.98
CAGR,-35.88%
Max Drawdown,-17.69%
Calmar Ratio,-2.03
,,,,,
MTD,-3.97%
3m,-5.13%
6m,-
YTD,-17.69%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-35.88%
,,,,,
Daily Sharpe,-2.50
Daily Sortino,-3.98
Daily Mean (ann.),-48.17%
Daily Vol (ann.),19.27%
Daily Skew,0.14
Daily Kurt,0.13
Best Day,3.22%
Worst Day,-2.97%
,,,,,
Monthly Sharpe,-3.52
Monthly Sortino,-4.14
Monthly Mean (ann.),-29.67%
Monthly Vol (ann.),8.44%
Monthly Skew,0.67
Monthly Kurt,-0.35
Best Month,1.07%
Worst Month,-5.15%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-17.69%
Avg. Drawdown Days,159.00
Avg. Up Month,1.07%
Avg. Down Month,-3.36%
Win Year %,-
Win 12m %,-
