Stat,lu0340554673,lu0474966677,lu0386875149
Start,2018-01-04,2018-01-04,2018-01-04
End,2022-06-13,2022-06-13,2022-06-13
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,22.38%,10.21%,34.31%
Daily Sharpe,0.34,0.23,0.50
Daily Sortino,0.54,0.37,0.76
CAGR,4.66%,2.21%,6.87%
Max Drawdown,-31.93%,-26.86%,-32.25%
Calmar Ratio,0.15,0.08,0.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,-3.90%,-3.45%,-5.48%
3m,-8.26%,-2.44%,-7.60%
6m,-23.47%,-12.11%,-19.18%
YTD,-23.91%,-11.36%,-20.61%
1Y,-26.09%,-6.09%,-12.81%
3Y (ann.),2.82%,4.87%,7.02%
5Y (ann.),4.66%,2.21%,6.87%
10Y (ann.),-,-,-
Since Incep. (ann.),4.66%,2.21%,6.87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.34,0.23,0.50
Daily Sortino,0.54,0.37,0.76
Daily Mean (ann.),7.20%,3.80%,8.95%
Daily Vol (ann.),20.89%,16.69%,18.02%
Daily Skew,-0.33,0.00,-0.51
Daily Kurt,2.63,4.20,4.20
Best Day,6.66%,7.31%,5.67%
Worst Day,-6.40%,-6.54%,-7.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.34,0.25,0.50
Monthly Sortino,0.61,0.41,0.80
Monthly Mean (ann.),5.55%,3.35%,7.89%
Monthly Vol (ann.),16.11%,13.34%,15.86%
Monthly Skew,0.00,-0.25,-0.46
Monthly Kurt,0.03,0.30,1.03
Best Month,12.87%,9.73%,12.70%
Worst Month,-8.91%,-9.37%,-11.03%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.35,0.45,0.51
Yearly Sortino,0.70,1.10,1.13
Yearly Mean,8.37%,6.26%,11.63%
Yearly Vol,23.65%,13.93%,22.59%
Yearly Skew,-1.11,-0.33,-1.43
Yearly Kurt,0.40,0.83,2.50
Best Year,28.79%,22.25%,31.73%
Worst Year,-23.91%,-11.36%,-20.61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-4.10%,-5.81%,-2.69%
Avg. Drawdown Days,32.78,90.76,22.84
Avg. Up Month,3.59%,2.68%,3.22%
Avg. Down Month,-3.94%,-3.38%,-4.33%
Win Year %,75.00%,75.00%,75.00%
Win 12m %,81.40%,60.47%,83.72%
