Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,13.62%
Daily Sharpe,-
Daily Sortino,-
CAGR,4.36%
Max Drawdown,-22.01%
Calmar Ratio,0.20
,,,,,
MTD,0.05%
3m,-5.97%
6m,-14.50%
YTD,-14.29%
1Y,-11.55%
3Y (ann.),4.36%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),4.36%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.40
Monthly Sortino,0.62
Monthly Mean (ann.),4.55%
Monthly Vol (ann.),11.46%
Monthly Skew,-0.68
Monthly Kurt,1.49
Best Month,7.00%
Worst Month,-8.25%
,,,,,
Yearly Sharpe,0.10
Yearly Sortino,0.17
Yearly Mean,1.37%
Yearly Vol,13.62%
Yearly Skew,-1.66
Yearly Kurt,-
Best Year,10.49%
Worst Year,-14.29%
,,,,,
Avg. Drawdown,-4.42%
Avg. Drawdown Days,56.93
Avg. Up Month,2.36%
Avg. Down Month,-2.40%
Win Year %,66.67%
Win 12m %,76.92%
