Stat,p
Start,2019-06-14
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,17.59%
Daily Sharpe,0.44
Daily Sortino,0.68
CAGR,5.55%
Max Drawdown,-28.84%
Calmar Ratio,0.19
,,,,,
MTD,-4.60%
3m,-6.27%
6m,-18.11%
YTD,-18.79%
1Y,-13.88%
3Y (ann.),5.55%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),5.55%
,,,,,
Daily Sharpe,0.44
Daily Sortino,0.68
Daily Mean (ann.),7.35%
Daily Vol (ann.),16.80%
Daily Skew,-0.40
Daily Kurt,3.55
Best Day,4.74%
Worst Day,-5.42%
,,,,,
Monthly Sharpe,0.43
Monthly Sortino,0.70
Monthly Mean (ann.),6.18%
Monthly Vol (ann.),14.39%
Monthly Skew,-0.25
Monthly Kurt,1.35
Best Month,11.07%
Worst Month,-9.25%
,,,,,
Yearly Sharpe,0.16
Yearly Sortino,0.27
Yearly Mean,2.95%
Yearly Vol,18.83%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,14.23%
Worst Year,-18.79%
,,,,,
Avg. Drawdown,-2.77%
Avg. Drawdown Days,24.10
Avg. Up Month,2.92%
Avg. Down Month,-3.27%
Win Year %,66.67%
Win 12m %,80.77%
