Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,20.14%
Daily Sharpe,-
Daily Sortino,-
CAGR,6.33%
Max Drawdown,-27.02%
Calmar Ratio,0.23
,,,,,
MTD,-0.23%
3m,-5.67%
6m,-15.29%
YTD,-15.57%
1Y,-11.05%
3Y (ann.),6.33%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),6.33%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.47
Monthly Sortino,0.74
Monthly Mean (ann.),6.81%
Monthly Vol (ann.),14.42%
Monthly Skew,-0.66
Monthly Kurt,1.48
Best Month,9.37%
Worst Month,-10.07%
,,,,,
Yearly Sharpe,0.19
Yearly Sortino,0.33
Yearly Mean,2.98%
Yearly Vol,16.06%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,12.40%
Worst Year,-15.57%
,,,,,
Avg. Drawdown,-4.58%
Avg. Drawdown Days,49.82
Avg. Up Month,2.91%
Avg. Down Month,-3.12%
Win Year %,66.67%
Win 12m %,76.92%
