Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-13.90%
Daily Sharpe,-1.64
Daily Sortino,-2.95
CAGR,-28.94%
Max Drawdown,-18.38%
Calmar Ratio,-1.57
,,,,,
MTD,-1.22%
3m,-0.14%
6m,-
YTD,-13.90%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-28.94%
,,,,,
Daily Sharpe,-1.64
Daily Sortino,-2.95
Daily Mean (ann.),-39.07%
Daily Vol (ann.),23.87%
Daily Skew,0.86
Daily Kurt,2.60
Best Day,6.31%
Worst Day,-3.01%
,,,,,
Monthly Sharpe,-3.15
Monthly Sortino,-3.78
Monthly Mean (ann.),-25.72%
Monthly Vol (ann.),8.16%
Monthly Skew,0.35
Monthly Kurt,0.00
Best Month,1.19%
Worst Month,-5.03%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-10.26%
Avg. Drawdown Days,79.00
Avg. Up Month,1.19%
Avg. Down Month,-2.98%
Win Year %,-
Win 12m %,-
