Stat,p
Start,2022-01-04
End,2022-06-13
Risk-free rate,0.00%
,,,,,
Total Return,-18.74%
Daily Sharpe,-2.47
Daily Sortino,-3.91
CAGR,-37.74%
Max Drawdown,-18.74%
Calmar Ratio,-2.01
,,,,,
MTD,-4.51%
3m,-6.02%
6m,-
YTD,-18.74%
1Y,-
3Y (ann.),-
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),-37.74%
,,,,,
Daily Sharpe,-2.47
Daily Sortino,-3.91
Daily Mean (ann.),-51.19%
Daily Vol (ann.),20.71%
Daily Skew,0.15
Daily Kurt,0.31
Best Day,3.40%
Worst Day,-3.43%
,,,,,
Monthly Sharpe,-3.18
Monthly Sortino,-4.45
Monthly Mean (ann.),-29.28%
Monthly Vol (ann.),9.21%
Monthly Skew,1.42
Monthly Kurt,2.10
Best Month,1.92%
Worst Month,-4.61%
,,,,,
Yearly Sharpe,-
Yearly Sortino,-
Yearly Mean,-
Yearly Vol,-
Yearly Skew,-
Yearly Kurt,-
Best Year,-
Worst Year,-
,,,,,
Avg. Drawdown,-18.74%
Avg. Drawdown Days,159.00
Avg. Up Month,1.92%
Avg. Down Month,-3.53%
Win Year %,-
Win 12m %,-
