Stat,lu0340554673,lu0474966677,lu0386875149
Start,2019-06-14,2019-06-14,2019-06-14
End,2022-06-10,2022-06-10,2022-06-10
Risk-free rate,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,14.06%,16.45%,27.03%
Daily Sharpe,-,-,-
Daily Sortino,-,-,-
CAGR,4.50%,5.23%,8.33%
Max Drawdown,-28.81%,-25.42%,-30.16%
Calmar Ratio,0.16,0.21,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.54%,-1.11%,-1.95%
3m,-9.28%,-4.41%,-6.03%
6m,-20.44%,-10.42%,-16.60%
YTD,-20.42%,-9.87%,-17.90%
1Y,-21.43%,-4.63%,-8.07%
3Y (ann.),4.50%,5.23%,8.33%
5Y (ann.),-,-,-
10Y (ann.),-,-,-
Since Incep. (ann.),4.50%,5.23%,8.33%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-,-,-
Daily Sortino,-,-,-
Daily Mean (ann.),-,-,-
Daily Vol (ann.),-,-,-
Daily Skew,-,-,-
Daily Kurt,-,-,-
Best Day,-,-,-
Worst Day,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.32,0.40,0.53
Monthly Sortino,0.54,0.72,0.78
Monthly Mean (ann.),5.52%,6.21%,9.18%
Monthly Vol (ann.),17.45%,15.54%,17.30%
Monthly Skew,-0.23,0.10,-1.05
Monthly Kurt,0.25,0.46,2.68
Best Month,12.19%,11.95%,10.48%
Worst Month,-11.05%,-9.37%,-13.64%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.11,0.12,0.27
Yearly Sortino,0.19,0.23,0.53
Yearly Mean,2.20%,1.33%,5.52%
Yearly Vol,20.72%,10.78%,20.47%
Yearly Skew,-0.94,-0.37,-1.59
Yearly Kurt,-,-,-
Best Year,20.25%,11.64%,19.97%
Worst Year,-20.42%,-9.87%,-17.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-5.72%,-4.77%,-3.96%
Avg. Drawdown Days,51.47,65.50,36.27
Avg. Up Month,4.13%,3.38%,3.09%
Avg. Down Month,-3.64%,-3.49%,-4.53%
Win Year %,66.67%,66.67%,66.67%
Win 12m %,76.92%,69.23%,80.77%
