Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,15.13%
Daily Sharpe,-
Daily Sortino,-
CAGR,4.83%
Max Drawdown,-23.09%
Calmar Ratio,0.21
,,,,,
MTD,-0.96%
3m,-6.58%
6m,-15.02%
YTD,-15.19%
1Y,-10.31%
3Y (ann.),4.83%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),4.83%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.43
Monthly Sortino,0.66
Monthly Mean (ann.),5.18%
Monthly Vol (ann.),12.18%
Monthly Skew,-0.72
Monthly Kurt,1.66
Best Month,7.82%
Worst Month,-8.92%
,,,,,
Yearly Sharpe,0.14
Yearly Sortino,0.23
Yearly Mean,2.02%
Yearly Vol,14.91%
Yearly Skew,-1.73
Yearly Kurt,-
Best Year,11.00%
Worst Year,-15.19%
,,,,,
Avg. Drawdown,-4.18%
Avg. Drawdown Days,50.75
Avg. Up Month,2.53%
Avg. Down Month,-2.50%
Win Year %,66.67%
Win 12m %,76.92%
