Stat,lu0340554673,lu0474966677,lu0303494743,lu0386875149,lu0625737753
Start,2019-06-14,2019-06-14,2019-06-14,2019-06-14,2019-06-14
End,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10
Risk-free rate,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,14.06%,16.45%,-7.91%,27.03%,7.70%
Daily Sharpe,-,-,-,-,-
Daily Sortino,-,-,-,-,-
CAGR,4.50%,5.23%,-2.72%,8.33%,2.51%
Max Drawdown,-28.81%,-25.42%,-15.23%,-30.16%,-41.94%
Calmar Ratio,0.16,0.21,-0.18,0.28,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,1.54%,-1.11%,-2.98%,-1.95%,11.60%
3m,-9.28%,-4.41%,-10.16%,-6.03%,1.51%
6m,-20.44%,-10.42%,-12.55%,-16.60%,-9.92%
YTD,-20.42%,-9.87%,-11.32%,-17.90%,-5.95%
1Y,-21.43%,-4.63%,-8.64%,-8.07%,-22.21%
3Y (ann.),4.50%,5.23%,-2.72%,8.33%,2.51%
5Y (ann.),-,-,-,-,-
10Y (ann.),-,-,-,-,-
Since Incep. (ann.),4.50%,5.23%,-2.72%,8.33%,2.51%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,-,-,-,-,-
Daily Sortino,-,-,-,-,-
Daily Mean (ann.),-,-,-,-,-
Daily Vol (ann.),-,-,-,-,-
Daily Skew,-,-,-,-,-
Daily Kurt,-,-,-,-,-
Best Day,-,-,-,-,-
Worst Day,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.32,0.40,-0.41,0.53,0.15
Monthly Sortino,0.53,0.72,-0.78,0.78,0.28
Monthly Mean (ann.),5.52%,6.20%,-2.59%,9.18%,2.89%
Monthly Vol (ann.),17.49%,15.51%,6.37%,17.29%,19.33%
Monthly Skew,-0.26,0.10,0.62,-1.05,0.03
Monthly Kurt,0.30,0.49,0.04,2.69,-0.17
Best Month,12.19%,11.95%,4.57%,10.48%,11.60%
Worst Month,-11.05%,-9.37%,-3.46%,-13.64%,-13.29%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.11,0.12,-0.51,0.27,-0.12
Yearly Sortino,0.19,0.23,-0.55,0.53,-0.25
Yearly Mean,2.21%,1.32%,-3.50%,5.53%,-1.80%
Yearly Vol,20.79%,10.57%,6.88%,20.50%,15.10%
Yearly Skew,-0.90,-0.57,-1.49,-1.57,1.14
Yearly Kurt,-,-,-,-,-
Best Year,20.47%,11.14%,1.62%,20.21%,14.94%
Worst Year,-20.42%,-9.87%,-11.32%,-17.90%,-14.38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-5.71%,-4.79%,-4.84%,-4.09%,-8.53%
Avg. Drawdown Days,51.47,65.50,248.50,37.67,86.55
Avg. Up Month,4.13%,3.36%,1.66%,3.09%,5.02%
Avg. Down Month,-3.64%,-3.46%,-1.41%,-4.53%,-4.04%
Win Year %,66.67%,66.67%,33.33%,66.67%,33.33%
Win 12m %,76.92%,69.23%,30.77%,80.77%,53.85%
