Stat,p
Start,2019-06-14
End,2022-06-10
Risk-free rate,0.00%
,,,,,
Total Return,20.04%
Daily Sharpe,-
Daily Sortino,-
CAGR,6.30%
Max Drawdown,-17.39%
Calmar Ratio,0.36
,,,,,
MTD,-3.96%
3m,-7.83%
6m,-11.47%
YTD,-11.30%
1Y,0.57%
3Y (ann.),6.30%
5Y (ann.),-
10Y (ann.),-
Since Incep. (ann.),6.30%
,,,,,
Daily Sharpe,-
Daily Sortino,-
Daily Mean (ann.),-
Daily Vol (ann.),-
Daily Skew,-
Daily Kurt,-
Best Day,-
Worst Day,-
,,,,,
Monthly Sharpe,0.64
Monthly Sortino,1.08
Monthly Mean (ann.),6.51%
Monthly Vol (ann.),10.15%
Monthly Skew,-0.50
Monthly Kurt,1.87
Best Month,7.90%
Worst Month,-8.33%
,,,,,
Yearly Sharpe,0.27
Yearly Sortino,0.66
Yearly Mean,4.31%
Yearly Vol,15.91%
Yearly Skew,0.17
Yearly Kurt,-
Best Year,20.51%
Worst Year,-11.30%
,,,,,
Avg. Drawdown,-2.70%
Avg. Drawdown Days,49.88
Avg. Up Month,2.28%
Avg. Down Month,-2.19%
Win Year %,66.67%
Win 12m %,96.15%
